block_id,route_id,trip_headsign,service_id,shape_id,trip_id,trip_id_
b_2152430,84-114,84 GLENDALE EXPRESS TO SA,2012_08A-1208BRwd-Weekday-01,840054,6522085-2012_08A-1208BRwd-Weekday-01,6522085
a_2150535,58-121,58 WOODLAWN,2012_05M-1205BRwd-Weekday-02,580054,6510757-2012_05M-1205BRwd-Weekday-02,6510757
b_2152835,65-114,65 CALDWELL TO ASTRAL,2012_08A-1208BRsa-Saturday-01,650012,6528371-2012_08A-1208BRsa-Saturday-01,6528371
a_2150559,65-121,65 CALDWELL TO PORTLAND H,2012_05M-1205BRwd-Weekday-02,650008,6513561-2012_05M-1205BRwd-Weekday-02,6513561
a_2150996,10-121,10 DALHOUSIE,2012_05M-1205BRsa-Saturday-02,100253,6515827-2012_05M-1205BRsa-Saturday-02,6515827
b_2152428,7-114,7 GOTTINGEN,2012_08A-1208BRwd-Weekday-01,70029,6522309-2012_08A-1208BRwd-Weekday-01,6522309
b_2152299,66-114,66 PENHORN TO GASTON RD,2012_08A-1208BRwd-Weekday-01,660069,6524504-2012_08A-1208BRwd-Weekday-01,6524504
a_2151259,61-121,61 DOWNTOWN HALIFAX TO SC,2012_05M-1205BRsu-Sunday-02,610062,6518397-2012_05M-1205BRsu-Sunday-02,6518397
a_2150564,4-121,4 FARNHAM GATE VIA ROSEDA,2012_05M-1205BRwd-Weekday-02,40023,6510882-2012_05M-1205BRwd-Weekday-02,6510882
a_2151065,80-121,80 HALIFAX,2012_05M-1205BRsa-Saturday-02,800064,6516585-2012_05M-1205BRsa-Saturday-02,6516585
b_2153076,1-114,1 SPRING GARDEN TO BRIDGE,2012_08A-1208BRsu-Sunday-01,10032,6530530-2012_08A-1208BRsu-Sunday-01,6530530
b_2152842,87-114,87 GLENDALE TO BRIDGE TER,2012_08A-1208BRsa-Saturday-01,870058,6528181-2012_08A-1208BRsa-Saturday-01,6528181
